"식사코드	급식일자	요리명"
"1	20190124	찹쌀밥<br/>쇠고기당면국5.6.8.13.16.<br/>명엽채고추장무침5.6.13.<br/>베이컨채소구이10.13.<br/>유기농요구르트2.<br/>에그타르트1.2.5.6.13."
"2	20190124	김밥1.2.6.10.13.<br/>꼬치어묵국1.5.6.13.<br/>유채나물(자)5.6.13.<br/>(+왕새우튀김)1.5.6.9.12.13.<br/>배추김치9.13.<br/>포도쥬스"
"3	20190124	찹쌀밥<br/>등뼈감자탕10.<br/>마늘쫑어묵볶음@1.5.6.13.<br/>오리불고기/깻잎쌈5.6.<br/>깍두기9.13."
"1	20190125	찹쌀밥<br/>초코칩 트위스트1.2.5.6.13.<br/>어묵고추장찌개1.5.6.13.<br/>상추쑥갓겉절이5.6.13.<br/>버섯제육볶음5.6.10.13.<br/>귤(생과)"
"2	20190125	흑미밥<br/>고소한조랭이떡국1.5.6.13.16.<br/>김치등뼈사태찜5.6.10.<br/>사과무생채13.<br/>베이컨감자채볶음2.5.6.10.13.<br/>석박지9.13."
"3	20190125	찹쌀밥<br/>버섯들깨탕@13.<br/>중국만두%1.5.6.10.<br/>상추쌈%<br/>춘천닭갈비5.6.15.<br/>배추김치9.13."
"1	20190126	찹쌀밥<br/>쇠고기우거지국5.6.13.16.<br/>오리훈제채소볶음1.5.13.<br/>배추김치9.13.<br/>딸기우유2.<br/>모닝빵&딸기잼1.2.5.6.13."
"2	20190126	카레라이스2.5.6.10.13.<br/>붕어빵13.<br/>두부김치국5.9.13.<br/>카바노치소시지1.2.5.6.10.12.13.<br/>프로바이오틱2."
"3	20190126	찹쌀밥<br/>감자다시마국@5.6.9.13.<br/>매콤콩나물무침(자)5.<br/>자장떡볶이@1.2.5.6.13.<br/>스마일감자튀김5.12.13.<br/>배추김치9.13."
"1	20190127	찹쌀밥<br/>어묵김치국1.5.6.9.13.<br/>돈육메추리알조림1.5.6.10.13.<br/>파래돌김자반13.<br/>우유(200ml)2.<br/>시리얼/후르트링5.6.13."
"2	20190127	김치볶음밥2.5.6.9.10.13.<br/>순두부김치국5.6.9.13.<br/>계란후라이1.5.<br/>엔요*2.<br/>어묵꼬치1.5.6.13."
"3	20190127	찹쌀밥<br/>북어계란국1.13.<br/>멘츠카츠1.2.5.6.10.11.12.13.<br/>배추김치9.13.<br/>레몬에이드@<br/>꽃맛살샐러드1.5.13."
